,user,text,favorite_count,retweet_count,created_at
43,nanashimumei_en,Goodbye hoomans! You'll be missed .. by me! :D,17675,547,2022-12-01 03:02:32+00:00
44,nanashimumei_en,"I have ONE (1) hour to stream!

https://t.co/58ni0OOm4j https://t.co/h4p27gdmkX",3338,265,2022-12-01 01:12:36+00:00
45,nanashimumei_en,Starting now :D https://t.co/xIN8vSkO6m,2009,155,2022-11-29 03:16:29+00:00
46,nanashimumei_en,"thumbnail art!
https://t.co/cMCaalmcqo",680,26,2022-11-28 23:37:01+00:00
47,nanashimumei_en,"【POKÉMON VIOLET】

Let's sniffle our way through some Shiny hunting today!! ~

https://t.co/fnRs6Xtfzz https://t.co/vvLImfYz59",2901,259,2022-11-28 23:36:30+00:00
48,nanashimumei_en,mi me ma mo mu,9002,464,2022-11-28 02:22:30+00:00
49,nanashimumei_en,Starting now! :D https://t.co/MUHhQy8NZL,2126,146,2022-11-27 23:07:07+00:00
50,nanashimumei_en,"sus thumbnail art!
https://t.co/PTDWVNvdvZ",834,45,2022-11-27 21:58:41+00:00
51,nanashimumei_en,"【AMONG US x HOLOLIVE COLLAB】

I'm playing Among Us with EN and ID members in a special collaboration! Starting in 1 hour! ~

https://t.co/P8V0eSlGTY https://t.co/fOnR43gGju",3543,319,2022-11-27 21:58:18+00:00
52,nanashimumei_en,"My throat got worse overnight, so I'm going to rest it for one more day! Let's watch IRyS 2.0 together!!! 🤎",6281,318,2022-11-27 00:29:48+00:00
53,nanashimumei_en,"I didn't finish my work in time to stream today 🦉 My voice is sore anyway, so I'll be around tomorrow!",5026,236,2022-11-26 02:37:18+00:00
54,nanashimumei_en,🎵gobble gobble🎶 :D https://t.co/3hVh1nbdte,2863,191,2022-11-25 04:31:08+00:00
55,nanashimumei_en,"gobble gobble gobble gobble gobble ^ ^ ; gobble gobble gobble, gobble gobble. gobble! gobble gobble gobble le le",9109,594,2022-11-25 03:55:40+00:00
56,nanashimumei_en,"gobble? gobble gobble

https://t.co/4uEv3tNf4N https://t.co/4winSpP3Yq",4058,407,2022-11-25 00:49:55+00:00
